"pos","depth"
613,323
614,323
615,323
616,323
617,321
618,321
619,321
620,307
621,307
622,315
623,315
624,315
625,315
626,316
627,316
628,317
629,316
630,196
631,197
632,198
633,198
634,198
635,198
636,199
637,199
638,199
639,202
640,198
641,198
642,197
643,197
644,225
645,225
646,225
647,226
648,225
649,225
650,225
651,225
652,225
653,225
654,225
655,225
656,225
657,225
658,225
659,228
660,217
661,218
662,218
663,218
664,218
665,184
666,184
667,184
668,184
669,188
670,183
671,183
672,184
673,183
674,183
675,183
676,183
677,183
678,183
679,183
680,183
681,185
682,185
683,185
684,186
685,186
686,193
687,194
688,197
689,198
690,198
691,198
692,654
693,645
694,644
695,644
696,644
697,649
698,675
699,689
700,676
701,676
702,676
703,677
704,697
705,697
706,696
707,697
708,696
709,696
710,696
711,697
712,703
713,704
714,721
715,771
716,789
717,789
718,789
719,778
720,778
721,778
722,778
723,778
724,778
725,778
726,778
727,780
728,776
729,776
730,777
731,777
732,778
733,736
734,736
735,735
736,700
737,700
738,700
739,700
740,706
741,706
742,706
743,706
744,706
745,707
746,722
747,722
748,722
749,722
750,722
751,722
752,738
753,738
754,738
755,746
756,738
757,738
758,745
759,745
760,744
761,744
762,743
763,824
764,828
765,827
766,826
767,826
768,825
769,825
770,826
771,827
772,826
773,822
774,821
775,821
776,821
777,822
778,794
779,794
780,794
781,793
782,791
783,802
784,802
785,802
786,803
787,806
788,807
789,807
790,807
791,820
792,820
793,824
794,824
795,823
796,829
797,831
798,907
799,1132
800,1394
801,1393
802,1393
803,1389
804,1389
805,1401
806,1400
807,1438
808,1477
809,1478
810,1478
811,1480
812,1482
813,1482
814,1485
815,3301
816,3300
817,3300
818,3299
819,3299
820,3292
821,3292
822,3290
823,3289
824,3292
825,3278
826,2826
827,2826
828,2828
829,2830
830,2830
831,2826
832,2802
833,2802
834,2802
835,2803
836,2803
837,2802
838,2782
839,2850
840,2876
841,2859
842,2859
843,2857
844,2857
845,2854
846,2850
847,2849
848,2849
849,2801
850,2783
851,2783
852,2783
853,2784
854,2785
855,2785
856,2786
857,2786
858,2789
859,2789
860,2789
861,2787
862,2786
863,2785
864,2784
865,2784
866,2783
867,2783
868,2783
869,2783
870,2783
871,2785
872,2788
873,2788
874,2782
875,2783
876,2783
877,2783
878,2789
879,2788
880,2775
881,2775
882,2775
883,2775
884,2774
885,2776
886,2759
887,2760
888,2760
889,2752
890,2752
891,2752
892,2745
893,2745
894,2745
895,2745
896,2745
897,2665
898,2661
899,2661
900,2661
901,2661
902,2661
903,2661
904,2659
905,2658
906,2659
907,2659
908,2659
909,2659
910,2659
911,2658
912,2658
913,2767
914,2767
915,2766
916,2766
917,2755
918,2754
919,2754
920,2753
921,2749
922,2743
923,2743
924,2745
925,2749
926,2772
927,2781
928,3373
929,3374
930,5892
931,37824
932,1085234
933,1497200
934,1503118
935,1503567
936,1506913
937,1507332
938,1507478
939,1509335
940,1509355
941,1509361
942,1509365
943,1510110
944,1510112
945,1510131
946,1510853
947,1510872
948,1511067
949,1509268
950,1511055
951,1511083
952,1511133
953,1514148
954,1514166
955,1514183
956,1514179
957,1514613
958,1514619
959,1514633
960,1518770
961,1520632
962,1520452
963,1522305
964,1522375
965,1523226
966,1523392
967,1523422
968,1523427
969,1523435
970,1523476
971,1523498
972,1524804
973,1524795
974,1524714
975,1524720
976,1524746
977,1526587
978,1525940
979,1525963
980,1525989
981,1526010
982,1525929
983,1525942
984,1525956
985,1526000
986,1526054
987,1526706
988,1526736
989,1526744
990,1526753
991,1526778
992,1526780
993,1526808
994,1526814
995,1526828
996,1526869
997,1526877
998,1526883
999,1529686
1000,1529690
1001,1529699
1002,1529772
1003,1529796
1004,1532154
1005,1532326
1006,1534234
1007,1534991
1008,1535188
1009,1535937
1010,1535926
1011,1540113
1012,1540114
1013,1540103
1014,1540105
1015,1540091
1016,1540085
1017,1540159
1018,1540786
1019,1541997
1020,1542924
1021,1541293
1022,1541264
1023,1542607
1024,1543005
1025,1542957
1026,1542963
1027,1545956
1028,1548284
1029,1548344
1030,1548493
1031,1553082
1032,1554386
1033,1554575
1034,1558381
1035,1558364
1036,1558471
1037,1558756
1038,1560218
1039,1560419
1040,1560319
1041,1561077
1042,1561052
1043,1562333
1044,1562801
1045,1563354
1046,1564171
1047,1563832
1048,1566315
1049,1566278
1050,1566284
1051,1566489
1052,1566426
1053,1566378
1054,1567051
1055,1574149
1056,1644960
1057,2570723
1058,2563625
1059,2547983
1060,2555481
1061,2566358
1062,2576172
1063,2576381
1064,2644649
1065,2833997
1066,1912239
1067,1505516
1068,1500018
1069,1500027
1070,1501508
1071,1501227
1072,1501136
1073,1503400
1074,1503607
1075,1504356
1076,1506156
1077,1505619
1078,1505798
1079,1512649
1080,1512637
1081,1513776
1082,1515331
1083,1633406
1084,1643011
1085,1643154
1086,1650840
1087,1654507
1088,1654762
1089,1667544
1090,1673972
1091,1673519
1092,1675633
1093,1675918
1094,1671831
1095,1671218
1096,1671426
1097,1669541
1098,1669601
1099,1668812
1100,1668668
1101,1668769
1102,1670720
1103,1670776
1104,1670824
1105,1670854
1106,1669627
1107,1669619
1108,1669650
1109,1673936
1110,1674105
1111,1672404
1112,1672418
1113,1672494
1114,1672826
1115,1672816
1116,1672813
1117,1672830
1118,1672862
1119,1672824
1120,1672870
1121,1672230
1122,1672235
1123,1672362
1124,1672368
1125,1672840
1126,1672853
1127,1673020
1128,1673033
1129,1673059
1130,1671986
1131,1671975
1132,1671967
1133,1668997
1134,1668281
1135,1668381
1136,1666233
1137,1666286
1138,1664790
1139,1664585
1140,1662659
1141,1662780
1142,1662470
1143,1661741
1144,1661487
1145,1659689
1146,1660010
1147,1659975
1148,1659995
1149,1659983
1150,1659442
1151,1658175
1152,1658111
1153,1656557
1154,1655492
1155,1655465
1156,1655411
1157,1655027
1158,1653455
1159,1653066
1160,1652336
1161,1649026
1162,1645690
1163,1649395
1164,1651164
1165,1646068
1166,1644641
1167,1644530
1168,1640712
1169,1640880
1170,1640386
1171,1639893
1172,1638555
1173,1637905
1174,1637881
1175,1636814
1176,1636335
1177,1632886
1178,1631909
1179,1631300
1180,1630311
1181,1631025
1182,1628465
1183,1627776
1184,1627729
1185,1624774
1186,1624683
1187,1623299
1188,1622494
1189,1614829
1190,1545901
1191,191780
1192,127779
1193,102270
1194,98670
1195,97534
1196,97337
1197,96790
1198,95297
1199,92850
1200,92309
1201,90915
1202,90869
1203,90864
1204,90304
1205,90285
1206,90263
1207,90179
1208,90084
1209,89565
1210,87802
1211,87737
1212,87724
1213,86843
1214,86703
1215,86726
1216,86648
1217,25456
1218,22917
1219,22863
1220,22725
1221,22653
1222,22619
1223,17055
1224,15500
1225,15485
1226,15372
1227,15364
1228,15362
1229,15295
1230,15276
1231,15306
1232,15301
1233,15309
1234,15357
1235,15344
1236,15314
1237,15318
1238,15373
1239,15381
1240,15392
1241,15391
1242,15389
1243,14923
1244,14898
1245,14906
1246,14990
1247,14989
1248,14692
1249,14677
1250,14668
1251,14647
1252,14646
1253,14639
1254,14654
1255,14655
1256,14656
1257,14661
1258,14691
1259,14671
1260,14657
1261,14573
1262,14529
1263,14525
1264,14520
1265,14516
1266,14519
1267,12965
1268,12958
1269,12912
1270,13179
1271,13201
1272,13194
1273,13204
1274,13188
1275,13171
1276,13175
1277,13147
1278,13100
1279,13058
1280,13120
1281,13105
1282,13092
1283,13074
1284,13048
1285,12967
1286,12944
1287,12939
1288,12932
1289,13279
1290,16048
1291,16258
1292,16320
1293,16370
1294,16427
1295,16448
1296,16491
1297,13026
1298,12444
1299,12288
1300,12323
1301,12303
1302,12325
1303,12319
1304,12317
1305,12320
1306,12379
1307,12373
1308,12347
1309,12390
1310,12391
1311,12417
1312,12399
1313,12380
1314,12509
1315,11632
1316,11269
1317,11221
1318,11216
1319,11200
1320,11195
1321,11161
1322,11167
1323,11038
1324,8238
1325,7918
1326,7892
1327,7888
1328,8911
1329,8850
1330,8847
1331,8762
1332,8714
1333,8708
1334,8704
1335,8702
1336,8690
1337,8653
1338,8639
1339,8627
1340,8615
1341,8598
1342,8594
1343,8617
1344,8605
1345,8595
1346,8564
1347,8555
1348,8546
1349,8476
1350,8444
1351,8358
1352,8326
1353,8291
1354,8266
1355,8263
1356,8320
1357,8385
1358,11480
1359,11499
1360,11509
1361,11511
1362,11502
1363,11500
1364,11471
1365,11437
1366,11439
1367,11432
1368,11391
1369,11389
1370,11383
1371,11380
1372,11399
1373,11383
1374,11368
1375,11367
1376,11364
1377,11365
1378,11365
1379,11341
1380,11255
1381,11252
1382,11247
1383,11247
1384,11297
1385,11339
1386,11359
1387,11361
1388,11327
1389,11323
1390,11320
1391,11300
1392,11271
1393,11310
1394,11333
1395,11333
1396,11341
1397,11352
1398,11362
1399,11361
1400,11359
1401,11365
1402,11370
1403,11364
1404,11291
1405,11243
1406,11242
1407,11227
1408,11220
1409,11224
1410,11226
1411,11228
1412,11225
1413,11248
1414,11154
1415,11156
1416,11156
1417,11161
1418,11168
1419,11200
1420,11198
1421,11208
1422,11203
1423,10795
1424,7720
1425,5755
1426,5738
1427,5844
1428,5881
1429,5887
1430,5889
1431,5885
1432,5876
1433,5878
1434,5895
1435,5904
1436,5931
1437,5928
1438,5946
1439,5979
1440,5892
1441,5889
1442,5885
1443,5819
1444,5824
1445,5791
1446,5789
1447,5788
1448,5789
1449,5787
1450,5795
1451,5797
1452,5801
1453,5799
1454,5805
1455,5791
1456,5780
1457,5774
1458,5760
1459,5778
1460,5913
1461,7777
1462,6822
1463,6833
1464,6863
1465,6930
1466,6938
1467,6982
1468,7130
1469,7086
1470,7035
1471,6994
1472,6997
1473,6997
1474,7001
1475,7004
1476,7020
1477,6986
1478,6977
1479,6981
1480,6970
1481,6961
1482,6969
1483,6967
1484,6987
1485,7007
1486,7009
1487,6999
1488,6992
1489,6987
1490,6897
1491,6830
1492,4364
1493,4298
1494,4286
1495,4276
1496,4274
1497,4313
1498,4304
1499,4300
1500,4348
1501,4345
1502,4334
1503,4379
1504,4381
1505,4379
1506,4284
1507,4294
1508,4293
1509,4287
1510,4281
1511,4277
1512,4274
1513,4176
1514,4168
1515,4165
1516,4164
1517,4203
1518,4147
1519,4125
1520,4098
1521,4066
1522,4072
1523,4069
1524,4065
1525,4067
1526,4096
1527,4056
1528,4050
1529,4043
1530,4035
1531,4021
1532,4009
1533,4031
1534,4020
1535,4008
1536,4002
1537,3997
1538,3996
1539,3992
1540,4002
1541,3998
1542,3993
1543,3986
1544,3968
1545,3964
1546,3960
1547,3932
1548,3922
1549,3917
1550,3913
1551,3904
1552,3885
1553,3844
1554,3892
1555,3884
1556,3881
1557,3852
1558,3721
1559,3714
1560,3707
1561,3589
1562,3536
1563,3494
1564,3494
1565,3491
1566,3485
1567,3481
1568,3462
1569,3458
1570,3471
1571,3472
1572,3461
1573,3415
1574,3401
1575,3396
1576,3396
1577,3390
1578,3383
1579,3381
1580,3378
1581,3376
1582,3372
1583,3372
1584,3365
1585,3360
1586,3355
1587,3349
1588,3343
1589,3341
1590,3340
1591,3332
1592,3329
1593,3313
1594,3166
1595,855
1596,612
1597,577
1598,574
1599,572
1600,575
1601,545
1602,541
1603,561
1604,595
1605,597
1606,596
1607,596
1608,595
1609,594
1610,589
1611,587
1612,587
1613,587
1614,587
1615,586
1616,585
1617,582
1618,556
1619,551
1620,549
1621,548
1622,548
1623,545
1624,545
1625,571
1626,571
1627,570
1628,570
1629,570
1630,570
1631,525
1632,525
1633,527
1634,481
1635,482
1636,482
1637,431
1638,426
1639,395
1640,395
1641,385
1642,385
1643,384
1644,384
1645,384
1646,384
1647,384
1648,384
1649,377
1650,376
1651,332
1652,332
1653,309
1654,309
1655,308
1656,305
1657,305
1658,305
1659,304
1660,270
1661,270
1662,270
1663,270
1664,270
1665,271
1666,271
1667,273
1668,273
1669,273
1670,273
1671,274
1672,275
1673,275
1674,257
1675,257
1676,257
1677,257
1678,257
1679,256
1680,256
1681,256
1682,255
1683,254
1684,254
1685,254
1686,254
1687,253
1688,203
1689,202
1690,202
1691,202
1692,202
1693,202
1694,202
1695,201
1696,201
1697,201
1698,201
1699,224
1700,224
1701,224
1702,224
1703,224
1704,204
1705,203
1706,203
1707,203
1708,202
1709,202
1710,202
1711,202
1712,202
1713,202
1714,202
1715,202
1716,202
1717,201
1718,201
1719,201
1720,201
1721,201
1722,201
1723,202
1724,202
1725,202
1726,203
1727,203
1728,197
1729,196
1730,196
1731,196
1732,196
1733,196
1734,192
1735,179
1736,175
1737,104
1738,69
1739,65
1740,65
1741,65
1742,65
1743,65
1744,65
1745,65
1746,65
1747,65
1748,65
1749,66
1750,66
1751,66
1752,66
1753,66
1754,66
1755,66
1756,66
1757,66
1758,66
1759,39
1760,41
1761,40
1762,41
1763,41
1764,41
1765,41
1766,41
1767,39
1768,39
1769,39
1770,39
1771,39
1772,39
1773,39
1774,39
1775,38
1776,38
1777,38
1778,38
1779,39
1780,39
1781,39
1782,39
1783,39
1784,39
1785,39
1786,38
1787,38
1788,38
1789,38
1790,38
1791,38
1792,38
1793,37
1794,37
1795,37
1796,37
1797,37
1798,37
1799,36
1800,36
1801,34
1802,34
1803,34
1804,33
1805,32
1806,31
1807,31
1808,31
1809,31
1810,31
1811,31
1812,31
1813,31
1814,31
1815,31
1816,31
1817,31
1818,31
1819,31
1820,31
1821,31
1822,31
1823,31
1824,31
1825,31
1826,31
1827,31
1828,31
1829,31
1830,31
1831,31
1832,31
1833,8
1834,8
1835,8
1836,8
1837,8
1838,8
1839,8
1840,8
1841,8
1842,8
1843,8
1844,8
1845,8
1846,8
1847,8
1848,8
1849,8
1850,8
1851,8
1852,8
1853,8
1854,8
1855,9
1856,9
1857,8
1858,8
1859,8
1860,7
1861,6
1862,6
1863,6
1864,6
1865,6
1866,6
1867,6
1868,6
1869,6
1870,6
1871,6
1872,6
1873,6
1874,6
1875,6
1876,6
1877,6
1878,6
1879,6
1880,6
1881,6
1882,6
1883,5
1884,5
1885,5
1886,5
1887,5
1888,5
1889,5
1890,5
1891,5
1892,5
1893,5
1894,3
1895,3
1896,2
1897,2
1898,2
1899,2
1900,2
1901,2
1902,2
1903,2
1904,2
1905,2
1906,2
1907,2
1908,2
1909,2
1910,2
1911,2
1912,2
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,1
1934,1
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,1
1946,6
1947,6
1948,6
1949,6
1950,6
1951,6
1952,6
1953,6
1954,6
1955,6
1956,6
1957,6
1958,6
1959,6
1960,6
1961,6
1962,7
1963,7
1964,7
1965,7
1966,7
1967,7
1968,7
1969,7
1970,7
1971,7
1972,7
1973,7
1974,7
1975,7
1976,7
1977,7
1978,7
1979,7
1980,7
1981,7
1982,7
1983,7
1984,7
1985,7
1986,7
1987,7
1988,7
1989,6
1990,6
1991,6
1992,6
1993,6
1994,6
1995,6
1996,6
1997,6
1998,6
1999,6
2000,6
2001,6
2002,6
2003,6
2004,6
2005,6
2006,6
2007,6
2008,6
2009,6
2010,6
2011,6
2012,6
2013,6
2014,6
2015,6
2016,6
2017,6
2018,6
2019,6
2020,6
2021,6
2022,6
2023,6
2024,6
2025,6
2026,6
2027,6
2028,6
2029,6
2030,6
2031,6
2032,6
2033,6
2034,6
2035,6
2036,6
2037,6
2038,6
2039,6
2040,6
2041,6
2042,6
2043,6
2044,6
2045,6
2046,6
2047,6
2048,6
2049,6
2050,6
2051,6
2052,6
2053,6
2054,6
2055,6
2056,6
2057,6
2058,6
2059,6
2060,6
2061,6
2062,6
2063,6
2064,6
2065,6
2066,6
2067,6
2068,6
2069,6
2070,6
2071,6
2072,6
2073,6
2074,6
2075,6
2076,6
2077,6
2078,6
2079,6
2080,1
2081,1
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,2
2257,2
2258,2
2259,2
2260,2
2261,2
2262,2
2263,2
2264,2
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,1
2314,1
2315,1
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,1
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2363,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,1
2374,1
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,0
2391,0
2392,0
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2462,0
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,0
2507,0
2508,0
2509,0
2510,0
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,0
2549,0
2550,0
2551,0
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2564,0
2565,0
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,0
2573,0
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2588,0
2589,0
2590,0
2591,0
2592,0
2593,0
2594,0
2595,0
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,0
2650,0
2651,0
2652,0
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
2660,0
2661,0
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,0
2679,0
2680,0
2681,0
2682,0
2683,0
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,0
2693,0
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,0
2717,0
2718,0
2719,0
2720,0
2721,0
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,0
2729,0
2730,0
2731,0
2732,0
