M3,M4,M5,M6,M7
0.903615173,1.695334118,1.70660493,1.269544446,1.439330114
1.128162386,1.695334118,1.660732024,1.269544446,1.393911152
1.218231095,1.744561508,1.493256453,1.315983835,1.258243711
1.218231095,1.905067927,1.446397072,1.232778029,1.254890313
1.263378117,1.950908781,1.511538846,1.169126405,1.115910748
1.244964719,1.81018191,1.649584444,1.247395281,1.220109958
1.36516724,1.823407999,1.457863507,1.206795116,1.300245353
1.306572372,1.680965299,1.503325168,1.356469423,1.558562251
1.34908851,1.680965299,1.402343651,1.356469423,1.538879907
1.356687761,1.713420572,1.542199019,1.485593172,1.617767282
1.356687761,1.713420572,1.472233308,1.530866359,1.498382734
1.356687761,1.506781265,1.398230749,1.555554433,1.507408847
1.169356549,1.465492385,1.322328211,1.545476115,1.626522712
1.175835064,1.312101371,1.370038425,1.441327872,1.640294277
0.95779546,1.312101371,1.324185828,1.443720523,1.741010283
1.029610259,1.389552977,1.268671711,1.404123231,1.882533512
0.942406584,1.389552977,1.279994727,1.361460479,1.972128739
1.154029678,1.428925,1.149457692,1.132764655,1.937810861
1.154029678,1.230487861,1.083654302,1.155089853,1.862578086
1.133426955,1.199979595,1.083654302,1.167270149,1.918982638
1.171079054,1.231513969,1.114355053,1.193758365,1.89907754
1.172293162,1.368148028,1.063805193,1.096224251,1.905386427
1.172293162,1.505048402,1.01898411,1.044753704,1.97603479
1.086381465,1.451744251,1.01898411,1.171659935,1.883032029
1.013735128,1.518859801,1.180848031,1.285269728,1.822657562
0.998394027,1.507309818,1.09122219,1.452240127,1.815393952
0.934728138,1.445752014,1.09122219,1.452290436,1.74075371
0.934728138,1.555242197,1.218657271,1.632842618,1.762981544
1.131290038,1.660336622,1.152133049,1.606192575,1.645816825
1.101964,1.621394217,1.06536116,1.605196221,1.712581327
1.076005305,1.710375019,1.18799583,1.610357068,1.712581327
0.972107299,1.646178565,1.062911313,1.746390849,1.652673465
0.955469333,1.606610264,1.108729002,1.78906554,1.512175595
0.836483499,1.613430157,1.196737128,1.695850844,1.639681145
0.758151991,1.531845743,1.193845082,1.704586976,1.697715259
0.758151991,1.598453011,1.205321492,1.567910267,1.697715259
0.751611345,1.681472987,1.197901343,1.490279535,1.714993227
0.779516849,1.681472987,1.352592432,1.596748048,1.626790705
0.810772653,1.567266055,1.43031869,1.337599576,1.512163729
0.917133654,1.528746579,1.459044327,1.455148687,1.566247066
0.948034196,1.49240569,1.322236129,1.695592235,1.589590982
0.982371485,1.431507452,1.423602232,1.629832469,1.653551983
1.115931319,1.325285941,1.489441251,1.435521558,1.650273423
1.117387715,1.325285941,1.376516975,1.406223807,1.650273423
0.99535459,1.325285941,1.455675711,1.397617847,1.598366762
1.004527435,1.277215274,1.418291394,1.440402762,1.651209954
0.870088957,1.291276411,1.538357448,1.34906214,1.672237314
0.809843162,1.285435302,1.339214073,1.41345825,1.672237314
0.841986976,1.394565675,1.456133742,1.41345825,1.64783664
0.795208762,1.22833328,1.542842614,1.527702208,1.571311478
0.833516191,1.230259117,1.55289643,1.532956235,1.585207164
0.822285727,1.2839928,1.533212962,1.435176371,1.575882351
0.822285727,1.366615152,1.537732416,1.541601906,1.73854602
0.840507275,1.608994338,1.45972968,1.5252397,1.706462034
0.78013243,1.618247566,1.361301371,1.691186988,1.684172014
1.08634423,1.660270228,1.421059306,1.91780503,1.540469714
1.092713745,1.730409238,1.489737562,1.792624419,1.678571199
1.256721971,1.783824746,1.46577886,1.814513598,1.659158298
1.184151386,1.776736749,1.433456807,1.814513598,1.745445783
1.092832515,1.776736749,1.445552508,1.781922855,1.899986703
0.865905565,1.801504685,1.416854889,1.78792884,1.828834823
0.77173666,1.857228552,1.438272604,1.757944601,1.778417856
0.747989962,1.914618461,1.45446906,1.850511295,1.693841946
0.940058451,1.990683126,1.512410171,1.920927394,1.589290882
0.877310084,1.972517956,1.547359387,1.825286539,1.589290882
0.831387708,2.00218995,1.567630812,1.761515586,1.591507964
0.919303091,1.792475109,1.763047622,1.761515586,1.634801507
0.902716489,1.713615643,1.729187225,1.855460465,1.67375389
0.902716489,1.92571698,1.724331058,1.833227394,1.571653523
0.858790135,1.836412528,1.724331058,1.905934826,1.744210633
0.803368083,1.826070339,1.765359441,1.970414527,1.68744961
0.949376694,1.623659013,1.698916067,1.714488944,1.792701888
1.003767527,1.64727885,1.611514028,1.775663333,1.784805705
1.047635168,1.694514219,1.655520614,1.662129251,1.798640287
0.984857056,1.586206388,1.655520614,1.567316791,1.798640287
0.984857056,1.500101797,1.598905927,1.704699372,1.810420679
0.997495215,1.465858804,1.64322223,1.704699372,1.814440258
1.106170305,1.516723751,1.465934357,1.65288898,1.584950573
1.238998277,1.539125066,1.334179068,1.499757293,1.446946875
1.180470104,1.544311083,1.444537283,1.40583488,1.442497007
1.09173287,1.700994214,1.323479188,1.40583488,1.421512634
0.973951202,1.536508276,1.293241738,1.461187377,1.341046372
0.834974319,1.668582695,1.341793125,1.414368428,1.39449461
1.017392216,1.642893976,1.341793125,1.380786616,1.480296418
0.950245583,1.571911874,1.432262576,1.380786616,1.480673405
1.127868664,1.466127256,1.416908187,1.307063477,1.558600096
1.083028595,1.520137099,1.373393278,1.387929338,1.639852737
0.943864473,1.319906817,1.25479606,1.357375657,1.556463677
0.943864473,1.495617266,1.146004655,1.367622141,1.582758121
0.988321881,1.522744582,1.091145074,1.426453148,1.725905073
1.012181707,1.553233504,1.137192188,1.466320265,1.593692079
1.064231432,1.553233504,1.137192188,1.445609432,1.613877272
1.064231432,1.553233504,1.069569593,1.412559397,1.44178466
0.990914549,1.448195818,0.986348311,1.343351114,1.187558073
0.918024833,1.448195818,0.966413859,1.249682745,1.080765613
0.814500501,1.542780283,0.966413859,1.386868208,1.171995255
0.8239833,1.565536329,1.185395469,1.343422359,1.262732187
0.960820508,1.214473393,1.21747804,1.453354326,1.262826643
0.710674972,1.257880569,1.310625761,1.430585168,1.372642982
0.710674972,1.323151407,1.333309382,1.430585168,1.389452092
0.710674972,1.356275228,1.507972735,1.292009461,1.363655716
0.698482595,1.467900252,1.616547661,1.385421589,1.378795945
0.731602902,1.47611871,1.589528581,1.564577091,1.447128453
0.919174949,1.574552639,1.589528581,1.356410392,1.47267574
0.807608979,1.52867568,1.636974347,1.266971158,1.475721645
0.690156413,1.358409723,1.573715228,1.4072275,1.475721645
0.684725758,1.169183016,1.405609746,1.300980365,1.513900435
0.690140346,1.157143337,1.547945564,1.367681415,1.518887275
0.513145319,1.237384204,1.614985294,1.29332162,1.447646664
0.514804184,1.256383796,1.604157975,1.40817604,1.500224054
0.514804184,1.275669652,1.602110341,1.437007499,1.441870485
0.514804184,1.318239125,1.632566561,1.493856236,1.445788342
0.50200183,1.288009449,1.564295723,1.406211972,1.445788342
0.645107133,1.344259859,1.629567317,1.54803723,1.364824161
0.835158633,1.390671025,1.553959785,1.600404133,1.46701519
0.835158633,1.344304188,1.708450642,1.4718819,1.476955372
0.914934659,1.344304188,1.554493958,1.367524979,1.381838349
1.016954007,1.31858934,1.580753799,1.517670836,1.319518895
0.949078912,1.250656329,1.418323264,1.583498715,1.404777267
1.066083199,1.187464566,1.363897004,1.593941771,1.36824024
1.241164617,1.083660904,1.341700664,1.778965404,1.255711761
1.320186586,1.121400337,1.253424333,1.787775774,1.228874874
1.4758327,1.179385244,1.182229249,1.764106864,1.150555623
1.448147297,1.179385244,1.061023933,1.723760443,1.150442079
1.439654887,1.279936925,1.111184015,1.758679546,1.277600294
1.402665293,1.269125071,1.111184015,1.773673042,1.277600294
1.402665293,1.190864576,1.194064897,1.799502744,1.43769958
1.26350431,1.206046101,1.028890588,1.877446829,1.592132477
1.26350431,1.206046101,0.909013262,1.785067396,1.667255497
1.143530887,1.127818895,0.83067255,1.799275081,1.778749258
1.15592653,1.0735394,0.943453786,1.814145593,1.740608282
1.025523242,0.979490381,0.968151414,1.896495735,1.772103524
1.132432461,1.015211703,0.992508253,1.936455754,1.819281288
1.033264833,0.979883676,0.992508253,2.027768447,1.799542492
1.073544112,1.111867769,0.992508253,1.995699267,1.910233361
0.918495158,1.106527265,0.941563372,1.934656981,1.830994837
0.932461382,1.108609571,0.941563372,1.918535717,1.830994837
0.965105783,1.052851588,0.92479013,1.833881678,1.862017945
0.854011634,1.011804694,0.997533741,1.800647776,1.852351623
0.854011634,1.083783484,0.997533741,1.558364669,1.852351623
0.854011634,1.109865026,0.997533741,1.520895027,1.771010789
0.642746599,1.157005269,1.049269859,1.578494255,1.771010789
0.611950186,1.146956035,1.190397756,1.454301682,1.745425056
0.647363124,1.146956035,1.260101571,1.472577325,1.702486384
0.802532313,0.986197797,1.314034066,1.499218351,1.697864134
0.934731935,0.962709458,1.386559431,1.529885625,1.563059649
0.895495277,0.962709458,1.458599047,1.480322959,1.594780285
0.864003067,1.050495773,1.467396183,1.480322959,1.594780285
0.834464688,1.031982136,1.467396183,1.447218297,1.586358365
0.809321077,0.952581212,1.467396183,1.447218297,1.579436339
0.809321077,0.956368923,1.351756888,1.494348071,1.567492655
0.712356013,1.029793876,1.284591013,1.49433208,1.635463479
0.666147464,1.189416224,1.292686075,1.390193088,1.645955109
0.561140397,1.107202136,1.376895053,1.304749065,1.645955109
0.561140397,1.287907288,1.555479449,1.163555525,1.505304342
0.717914803,1.380313553,1.480253789,1.165229037,1.425544129
0.755857072,1.584166102,1.384842291,1.227108339,1.370598172
0.815405873,1.539956138,1.288457522,1.224767651,1.187504626
0.753197941,1.524350824,1.202756215,1.224767651,1.099239808
0.920014262,1.497625165,1.163448788,1.324031365,1.102797545
0.771881242,1.388206528,1.055820774,1.392039133,1.261212419
0.914242451,1.38443069,1.055820774,1.510001804,1.348014318
0.865870128,1.306448698,1.115088922,1.566244511,1.21504022
0.919119232,1.474807803,0.999927086,1.463982061,1.228339025
0.94776665,1.474807803,1.254808385,1.610207188,1.066574335
0.899407528,1.505371154,1.461633091,1.473624825,1.066574335
0.938705421,1.494673474,1.470599122,1.441970549,1.067398114
0.96681604,1.555314483,1.358491826,1.279785805,1.138173276
0.897521862,1.497343527,1.44600947,1.26869232,1.101378916
0.937539689,1.492580154,1.302649708,1.42528217,1.094849801
0.872687298,1.669833722,1.413655097,1.449262583,1.048948696
0.836226665,1.620619971,1.264579619,1.279802511,1.048948696
0.836226665,1.58913682,1.476684748,1.279802511,1.028818091
0.99255466,1.599993207,1.359594694,1.2248757,1.014685626
0.964915904,1.701608282,1.438505668,1.452028549,1.007799596
0.903629933,1.646007957,1.353179601,1.405828947,0.969159973
0.895717468,1.722083045,1.442976648,1.50871806,0.969159973
1.000920522,1.733171703,1.301716464,1.50871806,1.037180492
0.837539989,1.608120994,1.301716464,1.426815245,1.037180492
0.917285971,1.775595384,1.2213384,1.490131576,1.158174295
0.917285971,1.640149866,1.255510302,1.329710824,1.233561256
0.980852305,1.714156118,1.421124152,1.352825234,1.342488449
1.154273941,1.686131634,1.445166551,1.330002329,1.251575205
1.192749199,1.752414379,1.665788829,1.164041376,1.34651881
1.192749199,1.799067237,1.465038226,1.366158853,1.504363543
1.283720997,1.748242423,1.581887983,1.43186836,1.559329024
1.283720997,1.696202,1.482922117,1.41988197,1.577975837
1.233493678,1.58252687,1.529834177,1.494272065,1.451786709
1.233493678,1.649219569,1.529834177,1.383220166,1.416867406
1.195596407,1.518364519,1.287238524,1.524407829,1.325819007
1.286947531,1.591655854,1.254200771,1.353109088,1.325819007
1.286947531,1.717462504,1.257455184,1.350049252,1.429260306
1.211225911,1.642950967,1.398657417,1.186820926,1.537649591
1.13005247,1.678845369,1.41079964,1.186820926,1.559726677
1.200638225,1.724586698,1.276374954,1.231785654,1.692847152
1.136624485,1.601602025,1.488297399,1.337266244,1.692847152
1.19379053,1.501397987,1.454115204,1.338757312,1.600123954
1.383136418,1.690715044,1.469615362,1.347138007,1.53945307
1.329376141,1.768812121,1.356301975,1.119179224,1.629390476
1.329376141,1.737612097,1.376148525,1.072144364,1.603347864
1.200728509,1.806421307,1.378977728,0.988875058,1.628779547
1.160329182,1.836182991,1.384610391,1.011223884,1.51160291
1.118369396,1.836182991,1.274228754,1.011223884,1.445470538
1.169951537,1.918115471,1.176743159,0.972241697,1.288453098
1.142448881,1.818912819,1.181403721,0.887970525,1.400679601
1.142448881,1.846632936,1.268414501,0.887970525,1.221788613
1.205936515,1.93903831,1.381860903,0.961710898,1.221788613
1.193898933,2.091643875,1.41961685,0.961710898,1.328646055
1.163960918,2.051045969,1.353347202,1.108575678,1.397519612
1.146813022,2.185897194,1.240175289,1.319720113,1.462115371
1.129688342,2.134255903,1.382882391,1.253321677,1.397927569
1.123321587,2.067900128,1.350531787,1.269757874,1.309488248
1.123321587,1.968546049,1.434026779,1.488740103,1.28463133
1.123321587,2.01089473,1.402137789,1.631799184,1.28463133
1.023699319,1.93997062,1.485851877,1.62741926,1.324112028
1.023699319,1.767454687,1.549301349,1.691976661,1.264146527
0.972501094,1.767454687,1.563799857,1.691976661,1.214193981
1.121332517,1.902958668,1.512493786,1.691976661,1.223074733
1.15857937,1.902958668,1.527514661,1.673809958,1.377604487
1.119654674,1.797919037,1.424706539,1.65522348,1.325868862
0.922108607,1.844154883,1.51663641,1.731302254,1.325868862
1.013991152,2.060807888,1.605708961,1.696886245,1.289572867
0.955245511,1.973052524,1.715848915,1.696886245,1.429174377
0.937905945,1.973052524,1.63079058,1.666673371,1.389767382
0.90250569,1.973052524,1.567958794,1.56662311,1.389767382
0.90250569,2.004840126,1.525239351,1.47108,1.304374898
0.945947066,1.994923896,1.524444085,1.294449464,1.304374898
0.91063448,2.082002931,1.543553419,1.230616477,1.345320195
0.919082617,2.079382854,1.511983857,1.24895926,1.461042739
0.934287922,1.985235089,1.528518551,1.24895926,1.586596528
0.810800092,2.015807199,1.528518551,1.284974057,1.47765805
0.847489201,2.015807199,1.539025595,1.349098979,1.408348403
0.847489201,2.044807929,1.413015425,1.245270206,1.449877891
0.839234378,2.136195374,1.446826838,1.397747607,1.420496196
0.839234378,2.15434351,1.283880089,1.285980408,1.375991093
0.87866391,2.256179328,1.364456107,1.285980408,1.385565
0.717017421,2.112142785,1.369170677,1.400887438,1.334812435
0.731821636,1.899757086,1.579051919,1.320071802,1.205521024
0.620176519,1.676822569,1.619490795,1.205634516,1.24671865
0.66687434,1.513821552,1.623281099,1.245348598,1.251455861
0.748141039,1.355843341,1.696136532,1.312733042,1.179942413
0.748141039,1.359869781,1.663587948,1.327637156,1.3279441
0.836333492,1.293318302,1.499422013,1.333043237,1.217518354
0.710486453,1.35960277,1.472631004,1.418550467,1.217518354
0.67131078,1.400058609,1.433445651,1.418550467,1.151604643
0.742843938,1.463587757,1.432437751,1.439211858,1.234839991
0.917150015,1.446402262,1.481841381,1.465058733,1.151259354
1.07158833,1.446402262,1.358770436,1.480232721,1.265935493
0.973186919,1.519424219,1.476112415,1.479521581,1.154064773
0.987124295,1.583235635,1.498688265,1.333918321,1.091774847
0.98100462,1.690799615,1.498688265,1.473634305,1.091774847
0.98100462,1.687070722,1.289261856,1.616258677,1.222827933
0.925388846,1.663286732,1.252419258,1.66498938,1.255148386
1.011774847,1.511945068,1.31062303,1.726093069,1.319770148
1.011774847,1.360332124,1.262058868,1.816525606,1.384071153
0.888783547,1.282391175,1.144058596,1.792612901,1.388575613
0.801844995,1.268442523,1.144058596,1.950334128,1.51498376
0.802494698,1.174877495,1.082220336,1.764743605,1.440941453
0.691177173,1.276638445,1.129679099,1.682987363,1.440941453
0.668602903,1.19355945,0.955600525,1.676573033,1.364959498
0.856474999,1.108124679,0.843580221,1.659326264,1.4368533
0.920321688,0.972249686,0.756557154,1.540084009,1.43151086
0.906662054,0.996198314,0.73150579,1.432138702,1.379379056
0.922852869,0.910350967,0.73150579,1.407752941,1.289651216
0.908474653,0.893021547,0.80460826,1.28411194,1.304278312
0.852473265,0.894337939,0.978569131,1.058736679,1.433225627
0.852473265,0.894337939,1.205447178,1.101333021,1.625234818
0.823138962,0.85981041,1.223281986,1.101333021,1.517854763
0.809246937,0.85981041,1.319917511,1.030842064,1.591704859
0.742568704,0.858297706,1.375975302,0.977459391,1.657234843
0.810866012,0.858297706,1.186532986,1.049837356,1.64253501
0.673691017,0.749823938,1.188778703,1.050658585,1.594549272
0.617061673,0.749823938,1.276269469,1.123194235,1.594549272
0.702628836,0.79667227,1.225746013,1.123194235,1.62348781
0.603506724,0.897209145,1.189697788,1.053487997,1.62348781
0.751203184,0.897209145,1.110476838,0.955205975,1.62348781
0.72204872,0.897209145,1.155287319,0.941893948,1.666411879
0.664214342,0.808615628,1.221019775,0.941893948,1.601764098
0.787474402,0.75932249,1.125537485,1.014554599,1.601764098
0.794880843,0.75932249,0.956544417,1.137833718,1.51152156
0.794880843,0.75932249,0.956544417,1.345888679,1.309583232
0.92474832,0.837343343,1.056811934,1.375871083,1.315950783
0.789863433,0.837343343,1.01341793,1.386298826,1.226580109
0.882389428,1.131498368,1.01341793,1.38326356,1.242127146
0.872863692,1.149800453,0.929642358,1.311207083,1.430361572
0.748309462,1.30388586,0.879940302,1.321581124,1.472708621
0.769806041,1.30388586,0.879940302,1.321581124,1.412298182
0.871937895,1.372381072,0.81553976,1.246739218,1.485104633
0.866953938,1.485086563,0.884718138,1.178619416,1.489285961
0.912313929,1.516869997,0.884718138,1.235798399,1.536405553
0.898024988,1.568216873,0.942258369,1.234094615,1.49073132
0.850810846,1.568216873,0.956088059,1.268774984,1.582590758
0.892694385,1.534174416,0.938410058,1.268774984,1.582590758
0.917047315,1.496234479,0.894281183,1.286557576,1.657490038
0.917047315,1.574326784,1.100391442,1.286557576,1.601220128
0.749705122,1.552338413,1.100391442,1.119508314,1.601220128
0.807175647,1.543609503,1.100391442,1.03777858,1.634887428
0.807175647,1.495144342,1.149297247,1.12584703,1.658191203
0.829283908,1.531829927,1.090268868,1.162479627,1.63908941
0.829283908,1.531829927,1.074966924,1.19305859,1.804781236
0.8285027,1.667197982,1.079183234,1.197542449,1.865612645
0.93034628,1.609023764,1.24523399,1.239210687,1.865612645
0.984841551,1.589178446,1.105770829,1.238070593,1.865612645
0.958148937,1.73026053,1.153034846,1.402954606,1.850950921
0.899831297,1.69765274,1.019015823,1.296472713,1.906800576
0.853132953,1.718035388,0.99153496,1.292297617,1.827688881
0.842363185,1.823512273,1.091344764,1.207340215,1.938071563
0.839261783,1.918184838,1.181814623,1.257858957,1.938071563
0.719654789,2.141588135,1.209860475,1.473794354,1.938071563
0.861733653,2.038166975,1.209860475,1.493199636,1.700453238
0.861733653,2.038166975,1.331090077,1.591704817,1.602100479
0.774548224,1.946438957,1.191206131,1.65683076,1.602100479
0.919808639,1.993820354,1.123308844,1.653636377,1.602100479
0.865626102,1.993820354,1.100744933,1.73174317,1.379706566
0.954986554,1.945120302,1.188162509,1.601573976,1.358931275
0.934684793,1.979541674,1.098436934,1.556022083,1.473106933
0.830212412,1.964475986,1.097236797,1.462749243,1.397174563
0.678816889,1.949537644,1.097236797,1.366175261,1.380970352
0.750089256,2.006608187,1.141413292,1.348798633,1.203263997
0.8230518,1.944612185,1.18303998,1.270254291,1.085133704
0.75042808,1.944612185,1.253096466,1.389593865,1.049935145
0.78180711,1.943236626,1.244219004,1.234711921,0.977502822
0.833102978,1.986916042,1.23843223,1.234711921,1.116711078
0.719359247,2.007780372,1.246297186,1.207987753,1.152045375
0.870708117,1.850347042,1.216043588,1.31298323,1.146683152
0.856698518,1.780874314,1.223500026,1.31298323,1.408015868
0.944050543,1.784622652,1.289287381,1.322635523,1.306690571
0.878727788,1.784622652,1.325524183,1.235985008,1.340814801
0.825333555,1.557864396,1.677517612,1.265550038,1.35902105
0.927337488,1.585388728,1.593053268,1.331738663,1.159802318
0.914542114,1.634168471,1.605830927,1.299501772,1.154424545
1.004254723,1.687908078,1.603754628,1.206769949,1.147724716
1.004254723,1.592548396,1.547640365,1.242171148,1.147724716
0.896542108,1.615568647,1.828826076,1.421440969,1.343948986
0.864124899,1.665657808,1.704923389,1.380156715,1.505964368
0.864124899,1.654849083,1.614080012,1.388629731,1.471464769
1.039395052,1.645331722,1.590786593,1.309177805,1.447799529
0.911221691,1.741651156,1.590786593,1.141017293,1.408550602
0.948837032,1.788743813,1.407401668,1.248445694,1.361407987
0.948837032,1.735052103,1.43190583,1.240104224,1.325479508
1.051488452,1.888646263,1.40624227,1.240104224,1.316431727
1.051488452,1.815515338,1.346076133,1.338235812,1.446609002
1.113496366,1.762242464,1.439148071,1.233904227,1.401571129
0.971871387,1.961855381,1.595056583,1.150918025,1.481038754
0.995133285,1.905972884,1.550930906,1.15958691,1.537771236
0.963995622,1.861843169,1.509319288,1.278125787,1.424597794
0.992101478,1.99642407,1.559208727,1.250129565,1.47062558
0.94777672,1.99642407,1.596945343,1.321571537,1.553808254
1.029274149,2.099293742,1.659322613,1.221711496,1.513804387
0.989728069,2.049276878,1.683828227,1.255689767,1.344209085
1.058857939,2.121508419,1.697146636,1.285742421,1.264258348
1.083364404,2.106979621,1.502301325,1.366424625,1.322050027
1.094698125,2.209900213,1.464068711,1.16696075,1.285660799
1.094698125,2.240241055,1.612627099,1.237125331,1.30663069
1.123494041,2.242835885,1.584074616,1.159306736,1.248807821
1.073643848,2.30051452,1.528780014,1.148935842,1.277383964
1.073643848,2.313962863,1.552105884,1.32444577,1.153933886
1.15172978,2.302408366,1.607158887,1.184492009,1.246672343
1.162361506,2.302408366,1.57815185,1.181768153,1.18920603
1.128178463,2.302408366,1.671294262,1.281896035,1.192661746
1.128178463,2.231383941,1.634764741,1.281896035,1.192661746
1.088288218,2.225658517,1.562011867,1.289348427,1.107647883
0.928364059,2.031633322,1.453640235,1.351387884,1.048123407
0.830386861,2.138113027,1.405834882,1.265640944,1.16003307
0.706663981,2.004396026,1.226268823,1.175368795,1.230116279
0.793650884,2.102779862,1.159077446,1.214154513,1.356332123
0.792071162,1.993750131,1.162808469,1.275182073,1.243671275
0.803071075,1.906978969,1.336289549,1.31318505,1.277611627
0.674318409,1.877972919,1.406510097,1.315212922,1.296116585
0.804461257,2.086748745,1.320281818,1.315212922,1.442000982
0.711865511,1.944889784,1.396769179,1.277341394,1.441343415
0.750135979,1.852296765,1.587913957,1.202697862,1.348306199
0.745853042,1.892474482,1.587913957,1.168792957,1.445689856
0.748536532,1.971968601,1.473354127,1.177073698,1.513139247
0.871371805,2.102237961,1.464504428,1.177073698,1.310149666
0.818081648,2.008222884,1.797210262,1.112181854,1.225843492
0.63923634,2.161204507,1.797210262,1.29899797,1.161019272
0.63923634,2.161204507,1.811724055,1.196584682,1.168706344
0.709011275,2.149239294,1.841254387,1.171209549,1.095816769
0.709011275,2.103205936,1.833919304,1.286421608,1.014473558
0.871506979,2.130109413,1.731391864,1.283861299,1.001310469
1.056708384,2.071884447,1.676215115,1.288032286,0.96266114
1.106572357,1.983381755,1.644609133,1.387165001,1.114999034
1.078083998,2.009209573,1.796288057,1.357860948,1.163090829
0.957949755,1.895580765,1.844713239,1.301088924,1.163090829
0.815909956,1.959024503,1.792708083,1.460073008,1.209178793
0.761877592,1.803166928,1.786082239,1.414641237,1.30433809
0.972352395,1.803166928,1.909240593,1.332949582,1.213712455
0.9969745,1.838491633,1.906129793,1.377892766,1.250876398
